"","state","date","total_cases","total_deaths","total_population","cases_per100k","deaths_per100k"
"1","Alabama",2020-03-13,6,0,4864680,0.1233380201781,0
"2","Alabama",2020-03-14,12,0,4864680,0.2466760403562,0
"3","Alabama",2020-03-15,23,0,4864680,0.47279574401605,0
"4","Alabama",2020-03-16,29,0,4864680,0.59613376419415,0
"5","Alabama",2020-03-17,39,0,4864680,0.801697131157651,0
"6","Alabama",2020-03-18,51,0,4864680,1.04837317151385,0
"7","Alabama",2020-03-19,78,0,4864680,1.6033942623153,0
"8","Alabama",2020-03-20,106,0,4864680,2.1789716898131,0
"9","Alabama",2020-03-21,131,0,4864680,2.69288010722185,0
"10","Alabama",2020-03-22,157,0,4864680,3.22734486132695,0
"11","Alabama",2020-03-23,196,0,4864680,4.0290419924846,0
"12","Alabama",2020-03-24,242,0,4864680,4.9746334805167,0
"13","Alabama",2020-03-25,386,1,4864680,7.93474596479111,0.02055633669635
"14","Alabama",2020-03-26,538,3,4864680,11.0593091426363,0.06166901008905
"15","Alabama",2020-03-27,639,4,4864680,13.1354991489677,0.0822253467854001
"16","Alabama",2020-03-28,720,4,4864680,14.800562421372,0.0822253467854001
"17","Alabama",2020-03-29,830,5,4864680,17.0617594579705,0.10278168348175
"18","Alabama",2020-03-30,947,11,4864680,19.4668508514435,0.22611970365985
"19","Alabama",2020-03-31,999,14,4864680,20.5357803596537,0.2877887137489
"20","Alabama",2020-04-01,1108,28,4864680,22.7764210595558,0.5755774274978
"21","Alabama",2020-04-02,1270,32,4864680,26.1065476043645,0.657802774283201
"22","Alabama",2020-04-03,1535,38,4864680,31.5539768288973,0.781140794461301
"23","Alabama",2020-04-04,1632,44,4864680,33.5479414884432,0.904478814639401
"24","Alabama",2020-04-05,1840,45,4864680,37.823659521284,0.925035151335751
"25","Alabama",2020-04-06,2005,53,4864680,41.2154550761818,1.08948584490655
"26","Alabama",2020-04-07,2197,64,4864680,45.162271721881,1.3156055485664
"27","Alabama",2020-04-08,2498,67,4864680,51.3497290674823,1.37727455865545
"28","Alabama",2020-04-09,2838,78,4864680,58.3388835442413,1.6033942623153
"29","Alabama",2020-04-10,3008,80,4864680,61.8334607826209,1.644506935708
"30","Alabama",2020-04-11,3262,93,4864680,67.0547703034938,1.91173931276055
"31","Alabama",2020-04-12,3583,93,4864680,73.6533543830221,1.91173931276055
"32","Alabama",2020-04-13,3805,104,4864680,78.2168611296118,2.1378590164204
"33","Alabama",2020-04-14,3953,114,4864680,81.2591989606716,2.3434223833839
"34","Alabama",2020-04-15,4241,123,4864680,87.1794239292204,2.52842941365105
"35","Alabama",2020-04-16,4404,137,4864680,90.5301068107255,2.81621812739995
"36","Alabama",2020-04-17,4572,151,4864680,93.9835713757123,3.10400684114885
"37","Alabama",2020-04-18,4723,147,4864680,97.0875782168611,3.02178149436345
"38","Alabama",2020-04-19,4903,160,4864680,100.787718822204,3.289013871416
"39","Alabama",2020-04-20,5078,164,4864680,104.385077744065,3.3712392182014
"40","Alabama",2020-04-21,5327,186,4864680,109.503605581457,3.8234786255211
"41","Alabama",2020-04-22,5610,201,4864680,115.321048866524,4.13182367596635
"42","Alabama",2020-04-23,5832,197,4864680,119.884555613113,4.04959832918095
"43","Alabama",2020-04-24,6026,209,4864680,123.872484932205,4.29627436953715
"44","Alabama",2020-04-25,6213,213,4864680,127.716519894423,4.37849971632255
"45","Alabama",2020-04-26,6421,219,4864680,131.992237927263,4.50183773650065
"46","Alabama",2020-04-27,6539,228,4864680,134.417885657433,4.6868447667678
"47","Alabama",2020-04-28,6750,242,4864680,138.755272700363,4.9746334805167
"48","Alabama",2020-04-29,6925,262,4864680,142.352631622224,5.3857602144437
"49","Alabama",2020-04-30,7068,272,4864680,145.292187769802,5.5913235814072
"50","Alabama",2020-05-01,7294,289,4864680,149.937919863177,5.94078130524515
"51","Alabama",2020-05-02,7611,288,4864680,156.45427859592,5.9202249685488
"52","Alabama",2020-05-03,7888,290,4864680,162.148383860809,5.9613376419415
"53","Alabama",2020-05-04,8112,298,4864680,166.753003280791,6.1257883355123
"54","Alabama",2020-05-05,8437,315,4864680,173.433812707105,6.47524605935026
"55","Alabama",2020-05-06,8691,343,4864680,178.655122227978,7.05082348684806
"56","Alabama",2020-05-07,9046,369,4864680,185.952621755182,7.58528824095316
"57","Alabama",2020-05-08,9385,383,4864680,192.921219895245,7.87307695470206
"58","Alabama",2020-05-09,9668,390,4864680,198.738663180312,8.01697131157651
"59","Alabama",2020-05-10,9889,393,4864680,203.281613590205,8.07864032166556
"60","Alabama",2020-05-11,10164,403,4864680,208.934606181702,8.28420368862906
"61","Alabama",2020-05-12,10464,435,4864680,215.101507190607,8.94200646291226
"62","Alabama",2020-05-13,10700,450,4864680,219.952802650945,9.25035151335751
"63","Alabama",2020-05-14,11101,473,4864680,228.195893666182,9.72314725737356
"64","Alabama",2020-05-15,11373,483,4864680,233.787217247589,9.92871062433706
"65","Alabama",2020-05-16,11674,485,4864680,239.97467459319,9.96982329772976
"66","Alabama",2020-05-17,11771,488,4864680,241.968639252736,10.0314923078188
"67","Alabama",2020-05-18,12086,489,4864680,248.443885312086,10.0520486445152
"68","Alabama",2020-05-19,12376,504,4864680,254.405222954028,10.3603936949604
"69","Alabama",2020-05-20,13052,522,4864680,268.30130656076,10.7304077554947
"70","Alabama",2020-05-21,13414,529,4864680,275.742700444839,10.8743021123692
"71","Alabama",2020-05-22,13670,541,4864680,281.005122639105,11.1209781527254
"72","Alabama",2020-05-23,14149,549,4864680,290.851607916656,11.2854288462962
"73","Alabama",2020-05-24,14478,551,4864680,297.614642689756,11.3265415196889
"74","Alabama",2020-05-25,14986,566,4864680,308.057261731501,11.6348865701341
"75","Alabama",2020-05-26,15650,580,4864680,321.706669297878,11.922675283883
"76","Alabama",2020-05-27,16032,583,4864680,329.559189915883,11.9843442939721
"77","Alabama",2020-05-28,16530,591,4864680,339.796245590666,12.1487949875429
"78","Alabama",2020-05-29,17031,610,4864680,350.094970275537,12.5393653847735
"79","Alabama",2020-05-30,17359,618,4864680,356.83744871194,12.7038160783443
"80","Alabama",2020-05-31,17952,630,4864680,369.027356372875,12.9504921187005
"81","Alabama",2020-06-01,18534,646,4864680,380.991144330151,13.2793935058421
"82","Alabama",2020-06-02,18771,653,4864680,385.862996127186,13.4232878627166
"83","Alabama",2020-06-03,18851,653,4864680,387.507503062894,13.4232878627166
"84","Alabama",2020-06-04,19072,653,4864680,392.050453472787,13.4232878627166
"85","Alabama",2020-06-05,19387,676,4864680,398.525699532138,13.8960836067326
"86","Alabama",2020-06-06,20043,689,4864680,412.010656404943,14.1633159837852
"87","Alabama",2020-06-07,20500,692,4864680,421.404902275175,14.2249849938742
"88","Alabama",2020-06-08,20925,718,4864680,430.141345371124,14.7594497479793
"89","Alabama",2020-06-09,21422,729,4864680,440.35784470921,14.9855694516392
"90","Alabama",2020-06-10,21989,744,4864680,452.01328761604,15.2939145020844
