"","State","Date","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"1","Alabama",2020-03-06,"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"2","Alabama",2020-03-13,"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene",NA
"3","Alabama",2020-03-13,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"4","Alabama",2020-03-13,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for not touching eyes/nose/mouth"
"5","Alabama",2020-03-13,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"6","Alabama",2020-03-13,"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms",NA
"7","Alabama",2020-03-13,"Social distancing","Mass gathering cancellation","Limit up to 500 persons",NA
"8","Alabama",2020-03-18,"Social distancing","Mass gathering cancellation","Measures for elections","Elections postponed"
"9","Alabama",2020-03-19,"Social distancing","Small gathering cancellation","Limit up to 25 persons",NA
"10","Alabama",2020-03-19,"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 2m distance"
"11","Alabama",2020-03-19,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"12","Alabama",2020-03-19,"Social distancing","Mass gathering cancellation","Closure of non-essential public places","Beaches"
"13","Alabama",2020-03-19,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Close long-term care facilities for visitors"
"14","Alabama",2020-03-19,"Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Close hospitals for visitors"
"15","Alabama",2020-03-19,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"16","Alabama",2020-03-19,"Resource allocation","Police and army interventions","To support essential workers","To assist healthcare professionals"
"17","Alabama",2020-03-20,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"18","Alabama",2020-03-20,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"19","Alabama",2020-03-20,"Social distancing","Closure of educational institutions","Complete closure of universities",NA
"20","Alabama",2020-03-20,"Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Closed to visitors"
"21","Alabama",2020-03-20,"Social distancing","Mass gathering cancellation","Closure of adult daycare facilities","Closure of senior centers and adult daycare facilities"
"22","Alabama",2020-03-21,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to small and medium enterprises"
"23","Alabama",2020-03-23,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Partial or total deferral of tax payments for businesses"
"24","Alabama",2020-03-26,"Social distancing","Mass gathering cancellation","Implement e-learning","Methodology for school digitalization"
"25","Alabama",2020-03-26,"Resource allocation","Crisis management plans","Administrative procedures facilitated","Implement remote administrative procedures"
"26","Alabama",2020-03-26,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Summons in lieu of arrest"
"27","Alabama",2020-03-28,"Social distancing","Small gathering cancellation","Restriction on private and familial events","Funerals and weddings: Limit up to 10 persons"
"28","Alabama",2020-03-28,"Social distancing","Small gathering cancellation","Limit up to 10 persons","Except drive-in gatherings if the participants respect social distancing rules"
"29","Alabama",2020-03-28,"Social distancing","Mass gathering cancellation","Cultural places and events","Closure of entertainment venues"
"30","Alabama",2020-03-28,"Social distancing","Mass gathering cancellation","Indoor activities","Fitness centers and gyms"
"31","Alabama",2020-03-28,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Closure of barber shops, hair salons, waxing salons, thrading salons, nail salons and spas, body art facilities and tattoo services, massage therapy establishments and services"
"32","Alabama",2020-03-30,"Risk communication","Educate and actively communicate with the public","Direct government communication","Promote social distancing measures"
"33","Alabama",2020-04-01,"Risk communication","Actively communicate with managers","Provides recommendation for business continuity","Encourage small businesses to take financial advice"
"34","Alabama",2020-04-02,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Expanded scope of practice of nurses/ physician assistant/anaesthesists/midwifes"
"35","Alabama",2020-04-03,"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspend evictions and foreclosures"
"36","Alabama",2020-04-04,"Travel restriction","National lockdown","Stay-at-home Order",NA
"37","Alabama",2020-04-06,"Risk communication","Educate and actively communicate with the public","Answer to questions","Official webpage with COVID-19 information"
"38","Alabama",2020-04-12,"Resource allocation","Activate or establish emergency response","Declare state of emergency","Statewide"
"39","Alabama",2020-04-12,"Resource allocation","Police and army interventions","To support the population","In affected areas"
"40","Alabama",2020-04-12,"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Sale or rental of any commodity or rental facility"
